20 Microns Ltd.	20MICRONS
Techno Electric & Engineering company Ltd. [Merged]	TECHNOELEC
Technocraft Industries (India) Ltd.	TIILBE
Technofab Engineering Ltd.	TECHNOFAB
Tecpro Systems Ltd.	TECPRO
Teledata Marine Solutions Ltd.	TELEMARINEBE
Teledata Technology Solutions Ltd.	TELEDATAITBE
Telephone Cables Ltd.	TELEPHNCAB
Television Eighteen India Ltd.	TV-18
Texmaco Infrastructure & Holdings Ltd.	TEXINFRA
Texmaco Rail & Engineering Ltd.	TEXRAIL
Texmo Pipes & Products Ltd.	TEXMOPIPES
Thangamayil Jewellery Ltd.	THANGAMAYL
Thejo Engineering Ltd.	THEJOSM
Themis Medicare Ltd.	THEMISMED
Thermax Ltd.	THERMAX
Thinksoft Global Services Ltd.	THINKSOFT
Thiru Arooran Sugars Ltd.	THIRUSUGAR
Thirumalai Chemicals Ltd.	TIRUMALCHM
Thomas Cook (India) Ltd.	THOMASCOOK
Thomas Scott (India) Ltd.	THOMASCOTTBE
Tide Water Oil Company India Ltd.	TIDEWATER
Tijaria Polypipes Ltd.	TIJARIABE
TIL Ltd.	TIL
Tilak Nagar Industries Ltd.	TI
Timbor Home Ltd.	TIMBOR
Time Technoplast Ltd.	TIMETECHNO
Times Guaranty Ltd.	TIMESGTY
Timex Group India Ltd.	TIMEXWATCH
Timken India Ltd.	TIMKEN
Tinplate Company of India Ltd.	TINPLATE
Tips Industries Ltd.	TIPSINDLTD
Titagarh Steels Ltd.[Merged]	TITAGRSTELBE
Titagarh Wagons Ltd.	TWL
Titan Industries Ltd.	TITAN
Todays Writing Instruments Ltd.	TODAYS
Tokyo Plast International Ltd.	TOKYOPLAST
Torrent Cables Ltd.	TORRENGUJBE
Torrent Cables Ltd. (Old)	TORRENTCABBE
Torrent Pharmaceuticals Ltd.	TORNTPHARM
Torrent Power AEC Ltd.	TORRENTAEC
Torrent Power Ltd.	TORNTPOWER
Torrent Power SEC Ltd.	TORRENTSEC
Tourism Finance Corporation of India Ltd.	TFCILTD
TPI India Ltd.	TPINDIABE
Trans Freight Containers Ltd.	TRANSFREITBE
Transchem Ltd.	TRANSCHEM
Transformers & Rectifiers (India) Ltd.	TRIL
Transpek Industry Ltd.	TRANSPEK
Transport Corporation of India Ltd.	TCI
Transwarranty Finance Ltd.	TFL
Treadsdirect Ltd.	TREADS
Tree House Education & Accessories Ltd.	TREEHOUSE
Trent Ltd.	TRENT
TRF Ltd.	TRF
Tribhovandas Bhimji Zaveri Ltd.	TBZ
Tricom India Ltd.	TRICOM
Trident Ltd.	TRIDENT
Trigyn Technologies Ltd.	TRIGYNBE
Trinetra Cement Ltd.	INDOZINCBE
Triveni Engineering & Industries Ltd.	TRIVENI
Triveni Glass Ltd.	TRIVENSHETBE
Triveni Turbine Ltd.	TRITURBINE
TTK Healthcare Ltd.	TTKHEALTH
TTK Prestige Ltd.	TTKPRESTIG
Tube Investments of India Ltd.	TUBEINVEST
Tulip Telecom Ltd.	TULIP
Tulsi Extrusions Ltd.	TULSI
Tulsyan NEC Ltd.	TULSYAN
Tuticorin Alkali Chemicals & Fertilizers Ltd.	TUTICORALKBE
TV Today Network Ltd.	TVTODAY
TV18 Broadcast Ltd.	TV18BRDCST
TVS Electronics Ltd.	TVSELECT
TVS Motor Company Ltd.	TVSMOTOR
TVS Srichakra Ltd.	TVSSRICHAK
Twentyfirst Century Management Services Ltd.	21STCENMGM
Twilight Litaka Pharma Ltd.	TWILITAKA
UB Engineering Ltd.	UBENGG
Ucal Fuel Systems Ltd.	UCALFUEL
UCO Bank	UCOBANK
Uflex Ltd.	UFLEX
Ugar Sugar Works Ltd.	UGARSUGAR
Company	Code
Ultramarine & Pigments Ltd.	ULTRMARINE
UltraTech Cement Ltd.	ULTRACEMCO
Umang Dairies Ltd.	JKDAIRYBE
Unichem Laboratories Ltd.	UNICHEMLAB
Uniflex Cables Ltd.	UNIFLEX
Unimin India Ltd.	UNIMINBE
Union Bank of India	UNIONBANK
Uniphos Enterprises Ltd.	UNIENTER
Uniply Industries Ltd	UNIPLY
Unitech Ltd.	UNITECH
United Bank of India	UNITEDBNK
United Breweries (Holdings) Ltd.	UBHOLDINGS
United Breweries Ltd.	UBL
United Nilgiri Tea Estates Company Ltd.	UNITEDTEA
United Phosphorus Ltd.	UNIPHOS
United Spirits Ltd.	MCDOWELL-N
United Western Bank Ltd.[Merged]	UNIWESTBNK
Unity Infraprojects Ltd.	UNITY
Universal Cables Ltd.	UNIVCABLES
Uniworth Ltd.	WOOLWORTHBE
Upper Ganges Sugar & Industries Ltd.	UPERGANGES
Usha Ispat Ltd.	USHAISPATBE
Usha Martin Education & Solutions Ltd.	UMESLTDBE
Usha Martin Ltd.	USHAMART
Ushdev International Ltd.	USHDEVINTBE
Usher Agro Ltd.	USHERAGRO
UTI Mastershare	MASTERSHAR
Uttam Galva Steels Ltd.	UTTAMSTL
Uttam Sugar Mills Ltd.	UTTAMSUGAR
UTV Software Communications Ltd.	UTVSOF
V B Desai Financial Services Ltd.	VBDESAIFINBE
V-Guard Industries Ltd.	VGUARD
V2 Retail Ltd.	V2RETAIL
Va Tech Wabag Ltd.	WABAG
Vadilal Industries Ltd.	VADILALIND
Vaibhav Gems Ltd.	VAIBHAVGEM
Vakrangee Softwares Ltd.	VAKRANSOFT
Valecha Engineering Ltd.	VALECHAENG
Value Industries Ltd.	VALUEIND
Vardhman Acrylics Ltd.	VARDHACRLC
Vardhman Holdings Ltd.	VHL
Vardhman Polytex Ltd.	VARDMNPOLYBE
Vardhman Special Steels Ltd.	VSSL
Vardhman Textiles Ltd.	VTL
Varun Industries Ltd.	VARUNBE
Varun Shipping Company Ltd.	VARUNSHIP
Vascon Engineers Ltd.	VASCONBE
Vaswani Industries Ltd.	VASWANI
Vatsa Corporation Ltd.	VATSALTDBE
Vegepro Foods and Feeds Ltd.	VEGPROFOODBE
Venky's (India) Ltd.	VENKEYS
Venlon Enterprises Ltd.	VENLONPOLYBE
Ventura Textiles Ltd.	VTCINDBE
Venus Remedies Ltd.	VENUSREM
Venus Sugar Ltd.	VENUSUGARBE
Vesuvius India Ltd.	VESUVIUS
Viceroy Hotels Ltd.	VICEROY
Videocon Industries Ltd.	VIDEOIND
Vijay Shanthi Builders Ltd.	VIJSHAN
Vijaya Bank	VIJAYABANK
Vikas GlobalOne Ltd.	VIKASGLOB
Vikas WSP Ltd.	VIKASWSPBE
Vikash Metal & Power Ltd.	VIKASHMET
Vimta Labs Ltd.	VIMTALABS
Vinati Organics Ltd.	VINATIORGA
Vindhya Telelinks Ltd.	VINDHYATELBE
Vintage Cards & Creations Ltd.	VINCARDS
Vinyl Chemicals (I) Ltd.	VINYLINDIA
VIP Industries Ltd.	VIPIND
Vippy Industries Ltd.	VIPPYSOLVXBE
Vipul Ltd.	VIPUL
Viral Syntex Ltd.	VIRALSYNTXBE
Visa Steel Ltd.	VISASTEEL
Visaka Industries Ltd.	VISAKAINDBE
Visesh Infotecnics Ltd.	VISESHINFOBE
Vishal Exports Overseas Ltd.	VISHALEXPO
Vision Organics Ltd.	VISIONLTD
Visu International Ltd.	VISUINTL
Visualsoft Technologies Ltd.	VISUALSOFT
Vital Communications Ltd.	VITALCOMMBE
Vitara Chemicals Ltd.	VITARACHEMBE
Vivimed Labs Ltd.	VIVIMEDLAB
VKS Projects Ltd.	VKSPL
VLS Finance Ltd.	VLSFINANCE
Voith Paper Fabrics India Ltd.	PORRITSPENBE
Voltamp Transformers Ltd.	VOLTAMP
Voltas Ltd.	VOLTAS
VST Industries Ltd.	VSTIND
VST Tillers Tractors Ltd.	VSTTILLERS
VTM Ltd.	VTMLTD
VTX Industries Ltd.	VTXIND
Vulcan Engineers Ltd.	VULCANENGBE
VXL Instruments Ltd.	VXLINSTR
W S Industries (India) Ltd.	WSI
WABCO India Ltd.	WABCOINDIA
Wadala Commodities Ltd.	GFL
Walchandnagar Industries Ltd.	WALCHANNAG
Wanbury Ltd.	WANBURYBE
Warren Tea Ltd.	WARRENTEA
Wartsila India Ltd.	WARTSILA
Waterbase Ltd.	WATERBASEBT
Company	Code
Websol Energy Systems Ltd.	WEBELSOLARBE
Weizmann Forex Ltd.	WEIZFOREX
Weizmann Forex Ltd.[Amalgamated]	WEIZFOREXBE
Weizmann Ltd.	WEIZMANIND
Wellman Incandescent India Ltd.	WELMANINCABE
Wellwin Industry Ltd.	WELLWININD
Welspun Corp Ltd.	WELCORP
Welspun Global Brands Ltd.	WELGLOBBE
Welspun India Ltd.	WELSPUNIND
Welspun Investments & Commercials Ltd.	WELINV
Welspun Projects Ltd.	WELPROJ
Wendt India Ltd.	WENDT
West Coast Paper Mills Ltd.	WSTCSTPAPR
Wheels India Ltd.	WHEELS
Whirlpool of India Ltd.	WHIRLPOOL
Willard India Ltd.	WILLARDLTDBE
Williamson Magor & Company Ltd.	WILLAMAGOR
Williamson Tea Assam Ltd.	GEORGWILIMBE
Wim Plast Ltd.	WIMPLAST
Windsor Machines Ltd.	WINDMACHIN
Winsome Diamonds and Jewellery Ltd.	WINSOMEDJ
Winsome Yarns Ltd.	WINSOME
Wipro Ltd.	WIPRO
Wisec Global Ltd.	WESTINDSECBE
Wockhardt Ltd.	WOCKPHARMABE
Wopolin Plastics Ltd.	WOPOLIN
Wyeth Ltd.	WYETH
